Unit ID,Property Address,Status,Original Finish Date,Revised Finish Date
REN-001,142 Maple Street Unit 1A,In Progress,2025-07-15,2025-08-01
REN-002,142 Maple Street Unit 1B,Completed,2025-06-30,2025-06-30
REN-003,142 Maple Street Unit 2A,Pending,2025-08-20,2025-08-20
REN-004,78 Oak Avenue Unit 3,In Progress,2025-07-28,2025-09-05
REN-005,78 Oak Avenue Unit 4,Awaiting Inspection,2025-07-10,2025-07-22
REN-006,301 Birch Boulevard Apt 6,Pending,2025-09-01,2025-09-01
REN-007,301 Birch Boulevard Apt 7,In Progress,2025-08-05,2025-08-15
REN-008,55 Cedar Lane Unit 8,Completed,2025-06-15,2025-06-15
REN-009,55 Cedar Lane Unit 9,On Hold,2025-07-20,2025-10-01
REN-010,200 Elm Drive Suite 10,In Progress,2025-08-12,2025-09-20
REN-011,200 Elm Drive Suite 11,Pending,2025-09-10,2025-09-10
REN-012,410 Pine Road Unit 12,In Progress,2025-07-25,2025-08-30
REN-013,410 Pine Road Unit 13,Awaiting Inspection,2025-07-05,2025-07-18
REN-014,88 Walnut Court Apt 14,Completed,2025-06-20,2025-06-20
REN-015,88 Walnut Court Apt 15,On Hold,2025-08-01,2025-11-15
REN-016,500 Spruce Way Unit 16,In Progress,2025-08-22,2025-09-30
REN-017,500 Spruce Way Unit 17,Pending,2025-09-15,2025-09-15
REN-018,77 Willow Lane Unit 18,In Progress,2025-07-30,2025-08-20
REN-019,77 Willow Lane Unit 19,Awaiting Inspection,2025-07-12,2025-07-25
REN-020,33 Aspen Close Unit 20,In Progress,2025-08-08,2025-09-12
