Unit ID,New Status,Revised Finish Date,Notes
REN-001,Awaiting Inspection,2025-08-05,Drywall and painting complete. Inspector scheduled for Aug 5.
REN-003,In Progress,2025-09-10,Electrical rough-in started. Running 2 weeks behind schedule.
REN-004,Completed,2025-08-02,All work signed off. Ready for tenant move-in.
REN-006,In Progress,2025-09-15,Demolition complete. Framing underway.
REN-007,Awaiting Inspection,2025-08-18,Plumbing and fixtures installed. Awaiting city sign-off.
REN-009,In Progress,2025-10-15,Permit issue resolved. Restarting work next week.
REN-010,Completed,2025-09-18,Final walkthrough passed. Unit ready.
REN-012,Awaiting Inspection,2025-08-28,All trades done. Punch list items cleared.
REN-015,In Progress,2025-10-20,Structural assessment complete. Work resuming.
REN-016,Completed,2025-09-25,Kitchen and bathrooms finished. Passed inspection.
REN-018,Awaiting Inspection,2025-08-22,Ready for final inspection. Minor touch-ups done.
REN-020,In Progress,2025-09-15,Tile work delayed due to material backorder.
